Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
STOT,SPDR DoubleLine Short Duration Total Return Tactical ETF,"$125,494",-3.91%,"13,672",$46.20,0.15%,0.27%,1.07%,-3.60%,-1.07%,4.09%,"-$27,157,758.86",$0.00,"-$3,454,606.80","-$27,157,758.86","-$2,023,379.34","$93,530,901.50",Total Bond Market,2016-04-13,0.45%,N/A,$0.75,2021-11-01,$0.06,1.52%,0.00,0.06,279,41.49%,40%,20%,1099,$45.57,$46.29,$46.18,$46.23,67.74,B+,B,B-,N/A,A,B,N/A,0.0,N/A,N/A,N/A,N/A,N/A
AFIF,Anfield Universal Fixed Income ETF,"$116,645",-5.15%,"54,186",$8.84,0.45%,0.34%,1.26%,-5.21%,-3.68%,N/A,"-$4,932,500.00",$0.00,"-$1,533,000.00","-$4,453,500.00","$110,419,750.00","$129,575,750.00",Total Bond Market,2018-09-18,1.00%,N/A,$0.16,2021-10-15,$0.02,1.62%,0.00,0.05,297,22.43%,40%,20%,1099,$8.69,$8.85,$8.82,$8.85,61.42,C+,B,C,N/A,C+,B,N/A,0.0,N/A,N/A,N/A,N/A,N/A
OACP,OneAscent Core Plus Bond ETF,"$103,320",N/A,"18,828",$23.12,0.48%,0.51%,2.89%,N/A,N/A,N/A,"$91,798,500.00","$1,148,000.00","$4,540,500.00","$91,798,500.00","$91,798,500.00","$91,798,500.00",Total Bond Market,2022-03-30,0.79%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97,24.89%,N/A,N/A,N/A,$22.35,$23.26,$23.11,$23.15,63.01,N/A,N/A,B-,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BYLD,iShares Yield Optimized Bond ETF,"$100,668",-9.35%,"31,160",$21.99,0.50%,0.87%,1.58%,-9.37%,-6.22%,3.97%,"-$25,193,221.70",$0.00,$0.00,"-$27,698,851.70","-$46,831,741.70","$88,950,608.30",Total Bond Market,2014-04-22,0.20%,N/A,$0.76,2021-11-02,$0.04,3.05%,0.00,0.15,9,100.01%,40%,20%,1099,$21.51,$22.03,$21.94,$22.07,62.94,B+,B,B+,B-,B-,A,N/A,6.44,42.35%,39.46%,265.14,3.65%,1.44%
DYLD,LeaderShares Dynamic Yield ETF,"$93,168",-9.15%,"17,538",$22.58,0.53%,0.52%,2.19%,-9.22%,N/A,N/A,"$25,647,500.00",$0.00,$0.00,"$25,647,500.00","$76,063,500.00","$76,063,500.00",Total Bond Market,2021-06-28,0.75%,N/A,$0.15,2021-10-25,$0.05,0.60%,0.00,-0.39,153,48.47%,40%,20%,1099,$21.99,$22.68,$22.54,$22.65,64.65,C+,B,C,N/A,B+,C+,N/A,7.79,80.61%,60.97%,59.63,5.09%,2.13%
FFTI,FormulaFolios Tactical Income ETF,"$92,970",-11.77%,"17,032",$20.77,0.53%,0.48%,1.66%,-11.55%,-10.52%,-5.05%,"-$66,470,500.00","-$1,034,000.00","-$1,024,500.00","-$66,476,500.00","-$128,031,500.00","-$23,250,250.00",Total Bond Market,2017-06-06,0.96%,N/A,$0.66,2021-10-15,$0.06,2.77%,0.00,0.22,6,100.00%,40%,20%,1099,$20.30,$20.83,$20.74,$20.82,61.34,B-,B,C,N/A,B-,A-,N/A,6.18,39.88%,36.99%,264.85,1.07%,0.40%
GRNB,VanEck Green Bond ETF,"$74,352",-10.71%,"17,672",$23.37,0.30%,0.64%,2.85%,-10.92%,-5.73%,-3.86%,"-$13,628,780.00",$0.00,"-$6,828,720.00","-$13,628,780.00","$63,095,915.00","$78,895,642.50",Total Bond Market,2017-03-03,0.20%,N/A,$0.58,2021-11-01,$0.05,2.16%,0.00,0.10,323,9.01%,40%,20%,1099,$22.58,$23.50,$23.33,$23.43,64.59,B,B-,B+,N/A,B,B+,N/A,7.89,84.68%,63.32%,674.94,9.35%,10.18%
SEIX,Virtus Seix Senior Loan ETF,"$73,178",-1.84%,"39,026",$23.47,0.17%,0.23%,0.77%,-1.33%,7.30%,N/A,"$27,113,850.00","-$12,275,700.00","-$15,198,575.00","$27,113,850.00","$72,054,200.00","$73,305,250.00",Total Bond Market,2019-04-24,0.57%,N/A,$0.80,2021-10-20,$0.07,3.17%,0.00,0.29,74,15.00%,40%,20%,1099,$23.34,$23.47,$23.42,$23.51,58.95,A-,B+,C+,N/A,A-,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
HTAB,Hartford Schroders Tax-Aware Bond ETF,"$71,444",-7.35%,"13,332",$19.31,0.05%,0.29%,3.68%,-7.24%,-2.35%,N/A,"-$23,607,570.00",$0.00,$0.00,"-$32,174,200.00","$5,740,935.00","$79,192,790.26",Total Bond Market,2018-04-18,0.39%,N/A,$0.31,2021-10-28,$0.02,1.43%,0.00,0.06,147,30.64%,40%,20%,1099,$18.64,$19.52,$19.27,$19.39,69.93,B-,B-,B-,N/A,B+,B,N/A,0.0,N/A,N/A,N/A,N/A,N/A
PBND,Invesco PureBeta US Aggregate Bond ETF,"$71,011",-10.85%,"29,629",$22.36,0.77%,0.75%,2.94%,-11.20%,-6.17%,2.07%,"$49,485,500.00","$2,219,000.00","$19,661,800.00","$49,485,500.00","$49,240,700.00","$49,240,700.00",Total Bond Market,2017-09-29,0.05%,N/A,$0.65,2021-10-18,$0.04,2.54%,0.00,-0.30,900,11.95%,40%,20%,1099,$21.58,$22.46,$22.29,$22.44,63.54,B+,B-,A,N/A,B-,A-,N/A,6.67,26.58%,41.90%,252.78,2.65%,0.78%
PTRB,PGIM Total Return Bond ETF,"$70,104",-12.95%,"21,037",$42.18,0.81%,0.85%,2.78%,-13.23%,N/A,N/A,"$55,053,175.00","$1,046,525.00","$2,085,950.00","$55,053,175.00","$55,053,175.00","$55,053,175.00",Total Bond Market,2021-12-08,0.49%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,316,35.09%,40%,20%,1099,$40.69,$42.40,$42.10,$42.33,63.84,N/A,B-,C+,N/A,B-,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SPSK,SP Funds Dow Jones Global Sukuk ETF,"$68,696",-7.61%,"25,925",$17.84,0.68%,0.73%,2.11%,-7.53%,N/A,N/A,"$34,393,545.00","$2,660,915.00","$4,847,927.50","$34,393,545.00","$73,957,717.50","$73,957,717.50",Total Bond Market,2019-12-30,0.59%,N/A,$0.50,2021-10-26,$0.04,2.55%,0.00,0.21,101,23.43%,40%,20%,1099,$17.37,$17.92,$17.77,$17.92,65.33,B+,B,C+,N/A,A-,A-,N/A,3.94,2.89%,8.27%,1639.65,0.00%,0.54%
FIBR,iShares U.S. Fixed Income Balanced Risk Factor ETF,"$67,284",-12.37%,"2,662",$84.89,0.80%,0.87%,1.56%,-12.31%,-9.77%,-2.10%,"-$30,585,220.00",$0.00,$0.00,"-$35,568,810.00","-$65,623,060.00","-$54,231,790.00",Total Bond Market,2015-02-24,0.25%,N/A,$2.11,2021-11-01,$0.14,2.11%,0.00,0.13,660,17.08%,40%,20%,1099,$82.93,$84.93,$84.89,$84.89,60.88,B-,C+,B+,N/A,C+,B+,N/A,7.82,81.63%,61.69%,270.43,6.08%,2.02%
HSRT,Hartford Short Duration ETF,"$66,167",-4.39%,"14,122",$37.89,0.37%,0.29%,0.90%,-4.26%,0.13%,N/A,"-$61,343,510.00","-$3,783,600.00","-$3,783,600.00","-$57,288,385.00","-$48,197,620.00","$72,216,140.04",Total Bond Market,2018-05-30,0.29%,N/A,$0.86,2021-10-28,$0.06,2.11%,0.00,0.17,327,16.70%,40%,20%,1099,$37.47,$37.93,$37.81,$38.02,62.64,B+,B-,B,N/A,A,B+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SHAG,WisdomTree Yield Enhanced U.S. Short-Term Aggregate Bond Fund,"$65,552",-5.92%,"17,928",$46.96,0.38%,0.36%,0.92%,-5.90%,-2.12%,4.17%,"-$81,271,550.00","-$9,365,810.00","-$14,016,310.00","-$81,271,550.00","$1,028,200.00","$69,842,220.00",Total Bond Market,2017-05-18,0.12%,N/A,$0.66,2021-10-25,$0.04,1.29%,0.00,0.04,260,49.52%,40%,20%,1099,$46.32,$47.04,$46.89,$47.07,62.11,B+,B-,A-,N/A,A-,B-,N/A,7.2,56.96%,49.32%,131.76,2.15%,0.53%
NFLT,Virtus Newfleet Multi-Sector Bond ETF,"$65,201",-8.29%,"45,255",$22.25,0.68%,0.86%,2.02%,-8.08%,1.21%,6.17%,"$45,083,750.00",$0.00,"$15,327,300.00","$45,083,750.00","$45,234,900.00","-$89,575,950.00",Total Bond Market,2015-08-11,0.50%,N/A,$0.84,2021-10-20,$0.08,3.33%,0.00,0.25,8,10.16%,40%,20%,1099,$21.67,$22.27,$22.16,$22.40,71.19,B,B-,C+,N/A,B+,A,N/A,5.61,16.07%,30.49%,267.29,3.28%,0.96%
ULTR,IQ Ultra Short Duration ETF,"$57,055",0.27%,"13,731",$47.65,0.32%,0.26%,0.88%,-1.14%,0.16%,N/A,"-$76,024,478.50","-$4,754,598.00","-$7,129,264.00","-$76,024,478.50","-$16,203,970.00","$36,375,437.00",Total Bond Market,2019-07-31,0.25%,N/A,$0.73,2021-11-01,$0.04,1.49%,0.00,0.11,88,35.62%,40%,20%,1099,$47.14,$47.71,$47.63,$47.70,66.62,B+,B,B+,N/A,A-,B,N/A,7.57,42.86%,56.21%,231.46,7.27%,0.44%
DBND,DoubleLine Opportunistic Bond ETF,"$54,728",N/A,"18,800",$46.54,0.43%,0.32%,2.64%,N/A,N/A,N/A,"$7,337,600.00",$0.00,"$7,337,600.00","$7,337,600.00","$7,337,600.00","$7,337,600.00",Total Bond Market,2022-03-31,0.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,218,44.23%,40%,20%,1099,$45.13,$46.87,$46.49,$46.65,64.43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
TBUX,T. Rowe Price Ultra Short-Term Bond ETF,"$52,281",-0.44%,"10,089",$48.67,0.08%,0.21%,0.64%,-0.43%,N/A,N/A,"$28,209,046.08","$1,214,231.18","$1,214,231.18","$29,452,572.40","$30,698,695.42","$30,698,695.42",Total Bond Market,2021-09-28,0.17%,N/A,$0.02,2021-10-25,$0.02,0.04%,0.00,0.00,284,15.88%,40%,20%,1099,$48.29,$48.72,$48.63,$48.75,74.73,B,C+,A-,N/A,A,C,N/A,7.34,34.69%,51.66%,326.68,6.80%,2.17%
OVB,Overlay Shares Core Bond ETF,"$49,725",-14.83%,"16,428",$21.06,0.67%,0.83%,2.79%,-14.96%,-6.21%,N/A,"-$73,899,307.50",$0.00,"-$2,080,130.00","-$72,600,405.00","$35,885,882.50","$74,709,065.00",Total Bond Market,2019-09-30,0.80%,N/A,$0.98,2021-10-04,$0.24,3.80%,0.00,0.11,4,100.00%,40%,20%,1099,$20.35,$21.18,$20.96,$21.18,62.47,B-,B+,C,N/A,C,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
PFRL,PGIM Floating Rate Income ETF,"$49,107",N/A,"7,208",$49.29,0.24%,0.51%,0.49%,N/A,N/A,N/A,"$24,710,575.00",$0.00,"$1,227,875.00","$24,710,575.00","$24,710,575.00","$24,710,575.00",Total Bond Market,2022-05-24,0.72%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,305,25.47%,40%,20%,1099,$48.92,$49.22,$49.23,$49.33,62.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
HSUN,Hartford Sustainable Income ETF,"$44,839",-11.65%,945,$33.50,0.54%,0.72%,3.38%,-11.62%,N/A,N/A,"$3,448,855.00",$0.00,$0.00,"$3,448,855.00","$53,448,815.58","$53,448,815.58",Total Bond Market,2021-09-21,0.54%,N/A,$0.06,2021-10-28,$0.06,0.16%,0.00,0.00,277,27.48%,40%,20%,1099,$32.05,$33.66,$33.50,$33.50,70.85,C,C,C+,N/A,B+,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
RFCI,RiverFront Dynamic Core Income ETF,"$43,563",-6.12%,"25,322",$22.46,0.54%,0.49%,1.54%,-6.16%,-1.46%,5.61%,"-$51,029,000.00",$0.00,"-$1,665,000.00","-$62,289,500.00","-$80,748,500.00","-$6,620,000.00",Total Bond Market,2016-06-12,0.51%,N/A,$0.46,2021-11-10,$0.03,1.84%,0.00,0.05,60,41.68%,40%,20%,1099,$21.99,$22.51,$22.42,$22.51,62.40,C+,B-,C+,B-,B,B,N/A,7.96,84.18%,64.85%,146.44,3.59%,0.45%
PAB,PGIM Active Aggregate Bond ETF,"$42,152",-12.46%,909,$42.44,0.71%,0.71%,2.94%,-12.68%,N/A,N/A,"$23,274,700.00",$0.00,$0.00,"$23,274,700.00","$24,495,852.50","$24,495,852.50",Total Bond Market,2021-04-15,0.19%,N/A,$0.46,2021-11-01,$0.08,0.91%,0.00,-0.35,255,57.07%,40%,20%,1099,$40.95,$42.69,$42.43,$42.45,62.99,C,C,B+,N/A,C,B-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
RDFI,Collaborative Investment Series Trust Rareview Dynamic Fixed Income Fund,"$41,956",-15.77%,"10,575",$22.86,0.66%,0.44%,3.39%,-14.74%,N/A,N/A,"-$4,582,787.50",$0.00,"-$556,735.00","-$11,048,292.50","$43,848,775.00","$43,848,775.00",Total Bond Market,2020-10-21,3.04%,N/A,$1.33,2021-11-02,$0.14,4.46%,3.03,-0.40,27,54.28%,40%,20%,1099,$22.07,$23.19,$22.81,$22.96,60.36,C+,C+,C,N/A,C,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
HISF,First Trust High Income Strategic Focus ETF,"$39,997",-9.10%,"7,285",$44.62,0.41%,0.70%,1.58%,-7.41%,-1.26%,7.51%,"-$15,417,850.00",$0.00,$0.00,"-$15,417,850.00","-$15,417,850.00","-$15,417,850.00",Total Bond Market,2014-08-13,0.87%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,100.00%,40%,20%,1099,$43.72,$44.68,$44.55,$44.69,64.43,B+,B+,C+,B,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
MINC,AdvisorShares Newfleet Multi-Sector Income ETF,"$39,690",-5.25%,"9,752",$44.99,0.27%,0.50%,1.03%,-5.21%,-1.52%,4.06%,"-$52,410,048.00",$0.00,$0.00,"-$52,410,048.00","-$23,074,641.75","-$159,994,516.25",Total Bond Market,2013-03-19,0.75%,N/A,$0.77,2021-10-25,$0.06,1.59%,0.00,0.16,276,17.09%,40%,20%,1099,$44.37,$44.96,$44.90,$45.08,63.80,B-,C+,C,B,A-,B,A-,0.0,N/A,N/A,N/A,N/A,N/A
TBJL,Innovator 20+ Year Treasury Bond 9 Buffer ETF - July,"$37,974",-16.80%,"26,020",$20.39,0.64%,0.61%,5.73%,-16.95%,N/A,N/A,"$32,525,797.50",$0.00,"$1,928,257.50","$32,525,797.50","$37,664,162.63","$37,664,162.63",Total Bond Market,2020-08-18,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.11,2,100.00%,40%,20%,1099,$19.07,$20.69,$20.26,$20.66,61.05,C,C+,C,N/A,C,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BBSA,JPMorgan BetaBuilders 1-5 Year U.S. Aggregate Bond ETF,"$37,734",-5.40%,"7,377",$47.34,0.38%,0.37%,0.86%,-5.39%,-1.65%,N/A,"$4,885,500.00",$0.00,$0.00,"$1,058,250.00","$3,863,956.04","$12,794,956.04",Total Bond Market,2019-03-12,0.05%,N/A,$0.63,2021-11-01,$0.04,1.23%,0.00,-0.08,651,32.61%,40%,20%,1099,$46.72,$47.40,$47.21,$47.44,61.54,B+,C+,A,N/A,A-,B-,N/A,6.69,29.75%,42.11%,148.04,1.60%,0.52%
