Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
FOVL,iShares Focused Value Factor ETF,"$21,042",-8.00%,"1,474",$52.10,-0.91%,-0.09%,-3.13%,-4.56%,12.18%,N/A,"-$10,782,293.65","-$2,611,496.55","-$2,611,496.55","-$10,782,293.65","-$11,322,643.65","-$13,663,153.65",All Cap Equities,2019-03-19,0.25%,N/A,$1.60,2021-09-24,$0.62,2.71%,14.05,1.33,42,29.25%,40%,20%,1099,$51.55,$54.71,$51.66,$52.99,50.57,A-,B-,A-,N/A,B,A,N/A,7.32,73.10%,51.34%,227.07,4.95%,2.40%
TMFE,Motley Fool Capital Efficiency 100 Index ETF,"$19,948",-22.52%,"3,749",$15.44,1.38%,2.38%,1.05%,N/A,N/A,N/A,"$21,261,882.50",$0.00,$0.00,"$21,261,882.50","$21,261,882.50","$21,261,882.50",All Cap Equities,2021-12-29,0.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,47.97%,40%,20%,1099,$14.88,$15.59,$15.33,$15.62,56.73,N/A,A-,B+,N/A,B-,N/A,N/A,8.23,56.92%,71.43%,34.4,0.06%,6.19%
USVT,US Value ETF,"$19,263",1.38%,"9,448",$26.82,0.86%,1.67%,-2.67%,5.19%,N/A,N/A,"$15,548,000.00","$3,943,000.00","$3,943,000.00","$15,548,000.00","$18,122,000.00","$18,122,000.00",All Cap Equities,2021-09-14,0.49%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.00,200,6.58%,40%,20%,1099,$26.07,$28.04,$26.81,$26.84,52.98,B,B+,B+,A,C+,B-,N/A,7.97,86.20%,65.05%,256.95,2.65%,2.80%
UVDV,UVA Dividend Value ETF,"$18,662",-4.05%,"1,717",$9.69,0.31%,0.98%,0.59%,-1.87%,N/A,N/A,"$11,132,564.40",$0.00,"-$192,806.80","$13,155,384.90","$13,155,384.90","$13,155,384.90",All Cap Equities,2021-11-18,0.80%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64,50.54%,40%,20%,1099,$9.52,$9.79,$9.65,$9.76,56.75,N/A,B,C,N/A,A+,N/A,N/A,8.04,24.04%,66.94%,144.17,12.54%,4.75%
LYFE,2nd Vote Life Neutral Plus ETF,"$17,622",-7.79%,"1,598",$31.10,1.47%,2.78%,-0.53%,-5.28%,N/A,N/A,"$610,412.50",$0.00,$0.00,"$1,428,377.50","$16,698,225.00","$16,698,225.00",All Cap Equities,2020-11-17,0.75%,N/A,$0.03,2020-12-29,$0.03,0.08%,22.95,1.06,34,41.69%,40%,20%,1099,$30.13,$31.53,$30.98,$31.35,56.14,C+,C+,C+,N/A,B-,B+,N/A,9.26,89.85%,90.77%,84.13,8.58%,10.58%
QDYN,FlexShares Quality Dividend Dynamic Index Fund,"$17,451",-8.93%,558,$58.63,1.00%,2.53%,1.26%,-6.60%,33.62%,53.55%,"-$2,860,512.50",$0.00,"-$1,479,352.50","-$2,860,512.50","-$35,080,577.50","-$47,872,017.50",All Cap Equities,2012-12-14,0.37%,N/A,$1.14,2021-09-17,$0.30,1.78%,25.60,1.09,127,33.56%,40%,20%,1099,$56.62,$59.36,$58.41,$58.98,58.10,B,C,B+,C,B+,A,B,8.18,31.41%,70.38%,158.67,4.62%,3.91%
ZECP,Zacks Earnings Consistent Portfolio ETF,"$16,425",-9.70%,"4,706",$24.32,0.62%,2.03%,3.44%,-7.49%,N/A,N/A,"$5,383,250.00",$0.00,"$591,250.00","$6,703,750.00","$16,256,000.00","$16,256,000.00",All Cap Equities,2021-08-24,0.55%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.98,63,32.38%,40%,20%,1099,$23.40,$24.48,$24.32,$24.32,59.71,B+,B,B+,B+,B+,B,N/A,8.53,68.22%,77.97%,205.93,7.36%,5.61%
GK,AdvisorShares Gerber Kawasaki ETF,"$15,792",-36.82%,"7,186",$16.75,0.78%,1.58%,-1.00%,-35.63%,N/A,N/A,"-$1,049,230.00",$0.00,"-$85,960.00","$2,565,325.00","$24,613,030.00","$24,613,030.00",All Cap Equities,2021-07-02,0.81%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.27,41,45.96%,40%,20%,1099,$16.24,$17.18,$16.52,$17.12,52.28,C+,A-,C+,C,C+,C+,N/A,5.6,0.75%,30.38%,103.4,11.38%,9.72%
BOUT,Innovator IBD Breakout Opportunities ETF,"$13,838",-20.11%,"4,863",$30.95,0.91%,1.77%,0.04%,-16.52%,53.62%,N/A,"-$1,609,000.00",$0.00,"-$3,071,000.00","$334,000.00","$6,292,000.00","$15,366,475.00",All Cap Equities,2018-09-13,0.80%,N/A,$0.00,2018-12-27,$0.04,0.00%,0.00,1.00,80,23.85%,40%,20%,1099,$30.24,$31.39,$30.71,$31.21,53.96,C,B,C,N/A,B,C,N/A,6.56,48.92%,40.62%,199.36,3.47%,9.50%
LOPP,Gabelli Love Our Planet & People ETF,"$13,226",-11.34%,178,$26.17,0.96%,1.21%,1.16%,-9.70%,N/A,N/A,"$3,319,190.00",$0.00,$0.00,"$3,613,210.00","$10,295,690.00","$10,295,690.00",All Cap Equities,2021-02-01,0.90%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.01,57,33.62%,40%,20%,1099,$25.44,$26.45,$26.17,$26.17,57.75,C,C+,C,N/A,B+,C,N/A,8.6,71.60%,79.42%,339.05,3.67%,16.53%
