Quarter,WAL,Aaa/AAA,Aa1/AA+,Aa2/AA,Aa3/AA-,A1/A+,A2/A,A3/A-,Baa1/BBB+,Baa2/BBB,Baa3/BBB-
2024Q1,6,50.82,55.67,60.52,76.29,92.05,107.82,123.24,138.66,154.07,184.51
2024Q1,7,49.64,57.48,65.33,81.65,97.97,114.3,129.66,145.03,160.4,187.68
2024Q1,8,59.33,64.73,70.13,87.01,103.89,120.77,136.09,151.41,166.73,190.84
2024Q1,9,69.02,69.78,70.53,89.43,108.34,127.25,142.52,157.79,173.06,194.01
2024Q1,10,67.43,69.18,70.92,89.25,107.57,125.9,141.36,156.83,172.29,193.62
2024Q1,11,65.84,68.58,71.32,89.06,106.8,124.55,140.21,155.87,171.52,193.24
2024Q1,12,64.24,67.98,71.71,88.87,106.04,123.2,139.05,154.9,170.76,192.86
2024Q1,13,62.65,67.38,72.11,88.69,105.27,121.85,137.89,153.94,169.99,192.47
2024Q1,14,61.05,66.78,72.5,88.5,104.5,120.5,136.74,152.98,169.22,192.09
2024Q1,15,59.46,66.18,72.9,88.32,103.73,119.15,135.58,152.02,168.45,191.7
2024Q1,16,57.86,65.58,73.29,88.13,102.96,117.8,134.43,151.06,167.69,191.32
2024Q1,17,56.27,64.98,73.69,87.94,102.2,116.45,133.27,150.1,166.92,190.94
2024Q1,18,54.67,64.38,74.08,87.76,101.43,115.1,132.12,149.13,166.15,190.55
2024Q1,19,53.08,63.78,74.48,87.57,100.66,113.75,130.96,148.17,165.38,190.17
2024Q1,20,51.48,63.18,74.88,87.38,99.89,112.4,129.81,147.21,164.62,189.79
2024Q1,21,49.89,62.58,75.27,87.2,99.12,111.05,128.65,146.25,163.85,189.4
2024Q1,22,48.29,61.98,75.67,87.01,98.36,109.7,127.49,145.29,163.08,189.02
2024Q1,23,46.7,61.38,76.06,86.82,97.59,108.35,126.34,144.33,162.31,188.63
2024Q1,24,45.11,60.78,76.46,86.64,96.82,107,125.18,143.36,161.55,188.25
2024Q1,25,43.51,60.18,76.85,86.45,96.05,105.65,124.03,142.4,160.78,187.87
2024Q1,26,41.92,59.58,77.25,86.27,95.28,104.3,122.87,141.44,160.01,187.48
2024Q1,27,40.32,58.98,77.64,86.08,94.52,102.95,121.72,140.48,159.24,187.1
2024Q1,28,38.73,58.38,78.04,85.89,93.75,101.6,120.56,139.52,158.48,186.71
2024Q1,29,37.13,57.78,78.43,85.71,92.98,100.25,119.41,138.56,157.71,186.33
2024Q1,30,35.54,57.18,78.83,85.52,92.21,98.9,118.25,137.59,156.94,185.95
2024Q2,1,11.94,21.35,30.75,39.56,48.37,57.18,67.13,77.08,87.03,130.8
2024Q2,2,23.55,30.21,36.88,46.21,55.55,64.89,74.88,84.87,94.85,134.71
2024Q2,3,35.16,39.08,43,52.87,62.73,72.6,82.62,92.65,102.68,138.63
2024Q2,4,46.77,47.95,49.12,59.52,69.91,80.3,90.37,100.44,110.51,142.54
2024Q2,5,43.45,47.15,50.86,61.88,72.9,83.92,95.05,106.19,117.32,145.95
2024Q2,6,40.12,46.35,52.59,64.24,75.88,87.53,99.73,111.93,124.14,149.35
